MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,Fence,Mo Sold,Yr Sold,Sale Type,SalePrice,Year Remod/Add Cats,Low Qual SF Cat,Garage Yr Blt Class,Porch Cat,Screen Porch Cat
60,RL,0.0,13517,Pave,None,IR,Lvl,CulDSac,Gtl,Sawyer,RR,Norm,1Fam,2Story,6,8,1976,Gable,CompShg,HdBoard,Plywood,HasMasVnr,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,725,754,1479,0.0,0.0,2,1,3,1,Gd,6,Typ,0,None,Attchd,RFn,2.0,475.0,TA,TA,Y,0,44,0,Non,3,2010,WD ,11.779128505744886,Blt/Remod<10 yrs,Finished,Before 2000,No3SeasonPorch,NoScreenPorch
60,RL,43.0,11492,Pave,None,IR,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,Gable,CompShg,VinylSd,VinylSd,HasMasVnr,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,913,1209,2122,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,RFn,2.0,559.0,TA,TA,Y,0,74,0,Non,4,2009,WD ,12.301382825334498,Blt/Remod 10-20 yrs,Finished,Before 2000,No3SeasonPorch,NoScreenPorch
20,RL,68.0,7922,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057,0,1057,1.0,0.0,1,0,3,1,Gd,5,Typ,0,None,Detchd,Unf,1.0,246.0,TA,TA,Y,0,52,0,Non,1,2010,WD ,11.59910316121128,Blt/Remod<10 yrs,Finished,Before 2000,No3SeasonPorch,NoScreenPorch
60,RL,73.0,9802,Pave,None,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744,700,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,None,BuiltIn,Fin,2.0,400.0,TA,TA,Y,100,0,0,Non,4,2010,WD ,12.066810578196666,Blt/Remod<10 yrs,Finished,After 2000,No3SeasonPorch,NoScreenPorch
50,RL,82.0,14235,Pave,None,IR,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831,614,1445,0.0,0.0,2,0,3,1,TA,6,Typ,0,None,Detchd,Unf,2.0,484.0,TA,TA,N,0,59,0,Non,3,2010,WD ,11.83862560460953,Blt/Remod 10-20 yrs,Finished,Before 2000,No3SeasonPorch,NoScreenPorch
20,RL,137.0,16492,Pave,None,IR,Lvl,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888,0,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,Fin,2.0,578.0,TA,TA,Y,0,0,0,Non,6,2010,WD ,12.154779351142624,Blt/Remod<10 yrs,Finished,Before 2000,No3SeasonPorch,NoScreenPorch
180,RM,35.0,3675,Pave,None,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,Gable,CompShg,VinylSd,VinylSd,HasMasVnr,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,1072,1.0,0.0,2,0,2,1,TA,5,Typ,0,None,Basment,Fin,2.0,525.0,TA,TA,Y,0,44,0,Non,6,2006,New,11.84939770159144,Blt/Remod<10 yrs,Finished,After 2000,No3SeasonPorch,NoScreenPorch
20,RL,0.0,12160,Pave,None,IR,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,Plywood,Plywood,HasMasVnr,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188,0,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,RFn,2.0,531.0,TA,TA,Y,0,0,0,MnPrv,5,2010,COD,11.863582336583399,Blt/Remod>20 yrs,Finished,Before 2000,No3SeasonPorch,NoScreenPorch
20,RL,0.0,15783,Pave,None,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,Y,SBrkr,924,0,924,0.0,0.0,1,0,2,1,TA,6,Typ,0,None,Detchd,Unf,1.0,420.0,TA,TA,Y,0,324,0,MnPrv,6,2007,WD ,11.630708500626612,Blt/Remod>20 yrs,Finished,Before 2000,No3SeasonPorch,NoScreenPorch
60,RL,70.0,11606,Pave,None,IR,HLS,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,Gable,CompShg,Plywood,Plywood,HasMasVnr,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040,1040,2080,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,Unf,2.0,504.0,TA,TA,Y,335,0,0,Non,9,2007,WD ,11.813030057420567,Blt/Remod>20 yrs,Finished,Before 2000,No3SeasonPorch,NoScreenPorch
